ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
21148,0.038,0.052,1.008,0.488,0.000,-0.061
21168,0.037,0.052,1.007,0.427,-0.061,-0.122
21192,0.036,0.052,1.006,0.427,-0.061,-0.122
21209,0.036,0.053,1.007,0.427,0.061,-0.061
21227,0.038,0.054,1.007,0.427,0.122,-0.122
21248,0.038,0.053,1.007,0.488,0.000,-0.122
21267,0.039,0.052,1.006,0.549,0.000,-0.061
21286,0.038,0.052,1.007,0.427,0.000,-0.061
21305,0.038,0.052,1.006,0.427,0.000,-0.061
21350,0.038,0.052,1.005,0.305,0.000,-0.122
21370,0.037,0.053,1.007,0.427,0.000,-0.061
21391,0.036,0.054,1.007,0.488,0.061,-0.122
21412,0.037,0.053,1.006,0.427,0.061,-0.061
21436,0.037,0.053,1.005,0.488,0.061,-0.122
21454,0.037,0.053,1.005,0.488,0.122,-0.061
21480,0.038,0.052,1.007,0.366,0.000,-0.122
21508,0.038,0.052,1.007,0.427,0.000,-0.122
21532,0.038,0.052,1.006,0.427,0.061,-0.061
21550,0.037,0.052,1.006,0.427,0.000,-0.061
21573,0.036,0.054,1.006,0.427,0.061,0.000
21651,0.039,0.052,1.006,0.427,0.000,-0.122
21676,0.039,0.053,1.006,0.488,0.000,-0.061
21697,0.038,0.053,1.006,0.366,0.000,-0.061
21720,0.037,0.053,1.006,0.427,-0.061,-0.061
21743,0.037,0.053,1.006,0.488,0.000,-0.122
21764,0.037,0.052,1.006,0.366,0.061,-0.122
21782,0.037,0.053,1.008,0.305,0.061,-0.122
21806,0.038,0.054,1.007,0.488,0.061,-0.061
21830,0.039,0.053,1.007,0.427,0.000,-0.061
21851,0.037,0.052,1.005,0.427,0.061,-0.061
