---,ollie,73791
ts,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
107350,0.045,0.202,-1.019,-2.686,102.722,-1.160
107376,-0.012,-0.186,-0.917,2.747,14.282,1.404
107405,-0.023,-0.453,-0.998,-0.977,-28.503,-0.183
107435,-0.298,0.130,-0.759,-1.648,1.709,-1.831
107463,0.391,0.077,-1.156,-19.409,-32.104,-8.728
107497,0.058,0.580,-0.513,14.038,12.085,-5.920
107524,-0.014,0.100,-0.183,5.432,-12.024,-9.705
107554,0.017,0.553,-1.125,1.099,20.691,0.000
107655,-0.011,-0.480,-0.986,3.784,-0.610,-0.977
107733,0.007,-0.271,-1.007,0.366,3.845,0.488
107761,-0.036,0.020,-1.003,0.244,12.207,-0.854
107789,-0.017,0.010,-0.992,-1.282,5.310,0.000
107818,-0.038,-0.053,-0.978,-3.296,6.714,-0.793
107844,0.011,0.094,-1.018,-0.244,15.198,-0.366
107873,-0.034,0.292,-0.997,-1.038,12.512,-0.183
107902,-0.031,0.274,-0.993,-1.282,10.132,-0.244
107930,-0.038,0.076,-0.986,0.549,6.348,0.366
107958,-0.040,-0.119,-0.996,0.793,0.427,0.549
107986,-0.042,-0.240,-0.985,0.916,-5.188,0.122
108014,-0.038,-0.225,-0.991,3.296,-9.338,0.366
108064,-0.026,-0.248,-0.992,1.038,-13.672,0.000
108091,-0.011,-0.462,-0.995,0.183,-15.869,0.610
108124,0.010,-0.406,-1.003,-4.639,-28.809,2.136
108154,0.041,-0.200,-1.003,-8.728,-49.438,2.380
108184,0.106,-0.801,-1.014,-11.230,-27.222,6.165
108214,0.012,1.561,-1.110,-19.592,49.072,0.854
108244,0.254,3.128,-1.855,-101.990,65.674,-52.490
108273,-0.375,0.755,-1.531,-317.017,140.076,-10.437
108303,-0.114,-2.027,-0.403,-410.400,276.611,162.415
108331,0.027,-2.748,-1.293,-458.984,-82.703,222.961
108386,0.269,-1.073,0.309,-256.958,-58.289,134.155
108413,0.208,-1.471,-0.273,-195.801,90.149,166.382
108443,0.127,-0.752,-0.203,-131.348,163.269,225.403
108472,-0.054,-0.063,-0.095,-14.954,262.146,308.289
108501,0.900,0.065,0.765,91.370,461.792,337.341
108531,-0.631,0.484,0.658,246.948,668.945,346.802
108560,-0.605,0.614,4.000,310.120,588.806,262.512
108589,1.178,-0.396,1.254,253.113,266.418,261.658
108617,0.026,-0.807,-0.330,323.608,326.843,224.365
108652,-0.031,-0.475,-0.286,368.103,137.268,154.419
108704,-0.150,0.489,0.432,-88.745,444.519,55.298
108733,0.105,0.255,0.014,-20.386,57.861,-1.221
108768,-0.306,0.551,-0.825,-19.958,10.620,-16.418
108795,-0.299,-0.420,-0.763,16.846,-24.597,19.104
108824,-0.181,-0.504,-0.938,6.531,-71.289,4.089
108853,-0.229,-1.264,-1.013,2.502,12.939,-3.601
108881,-0.211,-1.319,-0.884,-6.958,39.368,-10.986
108910,-0.205,-0.159,-0.993,-5.798,-29.175,-20.447
108939,-0.092,0.057,-0.992,-3.784,-38.330,-17.639
108969,-0.119,0.125,-1.004,-2.502,6.531,-12.390
108998,-0.142,0.104,-0.966,-1.038,6.653,-11.597
109053,-0.166,-0.271,-0.975,-3.113,-0.427,-13.733
109083,-0.099,-0.040,-0.968,-2.258,-28.137,-14.343
109113,-0.084,0.075,-0.984,-0.366,-49.072,-13.428
109142,-0.045,0.406,-1.006,-1.587,-48.889,-8.240
109169,-0.047,0.845,-1.030,0.671,-43.213,-2.991
109198,-0.053,0.888,-1.030,1.709,-51.331,3.235
109226,-0.128,0.389,-0.986,1.038,-33.386,28.320
109328,-0.027,-0.181,-1.043,-2.380,-14.954,-2.502
109386,0.021,-0.224,-1.024,2.075,-12.878,0.183
109414,0.006,0.052,-1.010,0.122,17.639,-0.061
109468,-0.005,0.051,-0.987,-0.122,16.296,0.000
109497,-0.014,0.104,-0.983,1.770,-8.484,0.305
109524,0.006,-0.084,-0.989,5.188,-28.381,0.183
